dataset,score,num_clusters,method,trial
zhong_prefrontal.h5ad,0.13245717507282434,18,gm,3
zhong_prefrontal.h5ad,0.12499055075839617,19,spectral,3
zhong_prefrontal.h5ad,0.4641465417325857,19,kmeans,3
zhong_prefrontal.h5ad,0.13245717507282434,19,gm,3
zhong_prefrontal.h5ad,0.11868060838625522,10,spectral,4
zhong_prefrontal.h5ad,0.5269395246947791,10,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,10,gm,4
zhong_prefrontal.h5ad,0.11129773049810908,11,spectral,4
zhong_prefrontal.h5ad,0.24880477847141597,11,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,11,gm,4
zhong_prefrontal.h5ad,0.16109251777586758,12,spectral,4
zhong_prefrontal.h5ad,0.2979382213728307,12,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,12,gm,4
zhong_prefrontal.h5ad,0.1424135983456551,13,spectral,4
zhong_prefrontal.h5ad,0.25325983960221704,13,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,13,gm,4
zhong_prefrontal.h5ad,0.14015205749993065,14,spectral,4
zhong_prefrontal.h5ad,0.5582987657773425,14,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,14,gm,4
zhong_prefrontal.h5ad,0.19158755398712976,15,spectral,4
zhong_prefrontal.h5ad,0.4754703875040438,15,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,15,gm,4
zhong_prefrontal.h5ad,0.17746235080387782,16,spectral,4
zhong_prefrontal.h5ad,0.5006999522347689,16,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,16,gm,4
zhong_prefrontal.h5ad,0.09874252612720917,17,spectral,4
zhong_prefrontal.h5ad,0.6691461020959957,17,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,17,gm,4
zhong_prefrontal.h5ad,0.14219077568336538,18,spectral,4
zhong_prefrontal.h5ad,0.47303734442759715,18,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,18,gm,4
zhong_prefrontal.h5ad,0.10946809509927684,19,spectral,4
zhong_prefrontal.h5ad,0.4641465417325857,19,kmeans,4
zhong_prefrontal.h5ad,0.13245717507282434,19,gm,4
lawlow_pancreas.h5ad,0.05538044464962078,10,spectral,0
lawlow_pancreas.h5ad,0.7607384343872279,10,kmeans,0
lawlow_pancreas.h5ad,0.0025396313731769885,10,gm,0
lawlow_pancreas.h5ad,0.0482837728284246,11,spectral,0
lawlow_pancreas.h5ad,0.7862636212011754,11,kmeans,0
lawlow_pancreas.h5ad,0.0025396313731769885,11,gm,0
lawlow_pancreas.h5ad,0.03512225824379427,12,spectral,0
lawlow_pancreas.h5ad,0.7461791124099475,12,kmeans,0
